Date/Time,Sample_ID(A),Alkalinity (mg/L CaCO3)
01/25/19,Finished,76.182
2019-01-26,Finished,73.191
2019-01-26,Raw,78.381
2019-01-27,Raw,99.819
2019-01-27,Finished,69.154
2019-01-28,Raw,76.22
2019-01-28,Finished,75.611
2019-01-29,Raw,84.048
2019-01-29,Finished,69.911
2019-01-30,Raw,74.784
2019-01-30,Finished,71.479
2019-01-31,Finished,35.597
2019-01-31,Finished,72.796
2019-01-31,Raw,72.903
2019-02-01,Raw,75.281
2019-02-01,Finished,66.857
2019-02-02,Finished,71.701
2019-02-02,Raw,69.456
2019-02-03,Raw,84.685
2019-02-04,Raw,69.948
2019-02-04,Finished,65.868
2019-02-05,Raw,71.837
2019-02-05,Finished,69.274
2019-04-29,Finished,45.794
2019-04-29,Finished,48.157
2019-04-29,Finished,45.762
2019-04-29,Finished,52.258
2019-04-30,Finished,42.851
2019-04-30,Finished,65.881
2019-04-30,Finished,46.259
2019-04-30,Finished,68.62
2019-05-29,Finished,66.311
2019-05-30,Raw,52.379
2019-05-30,Raw,52.51
2019-05-30,Raw,46.085
2019-05-30,Raw,48.739
2019-05-30,Raw,59.419
2019-05-30,Raw,61.747
2019-05-30,Raw,59.321
2019-05-30,Finished,66.013
2019-05-30,Finished,65.834
2019-05-30,Finished,68.962
2019-05-30,Raw,86.367
2019-05-30,Raw,87.719
2019-05-30,Raw,96.193
2019-05-30,Raw,89.811
2019-05-30,Raw,74.943
2019-05-30,Raw,85.97
2019-06-16,Raw,88.165
2019-06-16,Raw,66.094
2019-06-16,Raw,84.686
2019-06-16,Raw,99.469
2019-06-16,Raw,98.834
2019-06-16,Raw,58.945
2019-06-16,Raw,66.577
2019-06-16,Raw,42.982
2019-06-16,Raw,102.02
2019-06-16,Raw,68.074
2019-06-16,Raw,89.583
2019-06-16,Raw,111.46
2019-06-16,Raw,86.209
2019-06-16,Raw,62.82
2019-06-16,Raw,75.667
2019-06-16,Raw,86.342
2019-06-16,Raw,93.158
2019-06-17,Raw,91.859
2019-06-17,Raw,57.934
2019-06-17,Raw,91.9
2019-06-17,Raw,62.835
2019-06-17,Raw,89.75
2019-06-17,Raw,82.836
2019-06-17,Raw,89.831
2019-06-18,Raw,45.903
2019-06-18,Raw,43.95
2019-06-19,Raw,45.816
2019-06-19,Raw,52.727
2019-06-19,Raw,50.937
2019-06-19,Raw,63.318
2019-06-19,Raw,51.878
2019-06-19,Raw,62.527
2019-06-19,Raw,48.304
2019-06-19,Raw,44.485
2019-06-19,Raw,93.4
2019-06-19,Raw,68.067
2019-06-19,Raw,65.184
2019-06-19,Raw,64.897
2019-06-19,Raw,68.138
2019-06-19,Raw,71.78
2019-06-19,Raw,63.276
2019-06-19,Raw,44.212
2019-06-19,Raw,45.116
2019-06-19,Raw,46.234
2019-06-19,Raw,43.605
2019-06-19,Raw,46.045
2019-06-19,Raw,40.425
2019-06-20,Raw,44.809
2019-06-20,Raw,42.353
2019-06-20,Raw,42.656
2019-06-20,Raw,29.989
2019-06-20,Raw,52.846
2019-06-20,Raw,58.973
2019-06-20,Raw,111.53
2019-06-20,Raw,41.578
2019-06-20,Raw,55.706
2019-06-20,Raw,62.101
2019-07-04,Raw,35.161
2019-07-04,Raw,82.747
2019-07-04,Raw,82.836
2019-07-04,Raw,72.56
2019-07-04,Raw,32.979
2019-07-04,Raw,88.758
2019-07-04,Raw,36.901
2019-07-04,Raw,38.415
2019-07-04,Raw,12.911
2019-07-04,Raw,20.46
2019-07-04,Raw,46.905
2019-07-04,Raw,25.202
2019-07-05,Raw,109.54
2019-07-05,Raw,88.028
2019-07-05,Raw,73.158
2019-07-05,Raw,106.14
2019-07-05,Raw,118.19
2019-07-05,Raw,69.072
2019-07-05,Raw,103.79
2019-07-05,Raw,91.736
2019-07-05,Raw,91.331
2019-07-05,Raw,92.118
2019-07-05,Raw,82.504
2019-07-05,Raw,93.197
2019-07-05,Raw,85.046
2019-07-05,Raw,66.25
2019-07-05,Raw,93.225
2019-07-05,Raw,115.62
2019-07-05,Raw,62.236
2019-07-05,Raw,53.514
2019-07-05,Raw,42.588
2019-07-05,Raw,41.028
2019-07-05,Raw,36.611
2019-07-05,Raw,39.408
2019-07-05,Raw,36.029
2019-07-05,Raw,41.589
2019-07-05,Raw,59.877
2019-07-05,Raw,79.352
2019-07-05,Raw,11.998
2019-07-05,Raw,15.468
2019-07-05,Raw,14.633
2019-07-05,Raw,18.535
2019-07-06,Raw,21.923
2019-07-06,Raw,18.73
2019-07-06,Raw,26.621
2019-07-06,Raw,29.93
2019-07-06,Raw,28.545
2019-07-06,Raw,27.964
2019-07-06,Raw,29.454
2019-07-06,Raw,29.458
2019-07-06,Raw,29.377
2019-07-06,Raw,28.615
2019-07-06,Raw,31.709
2019-07-06,Raw,28.737
2019-07-06,Raw,28.003
