Date/Time(H),Sample_ID,Hardness (mg/L CaCO3)
01/25/19,Finished,85
2019-01-26,Finished,91.667
2019-01-26,Raw,85.0
2019-01-27,Raw,81.667
2019-01-27,Finished,88.333
2019-01-28,Raw,85.0
2019-01-28,Finished,85.0
2019-01-29,Raw,81.667
2019-01-29,Finished,88.333
2019-01-30,Raw,78.333
2019-01-30,Finished,81.667
2019-01-31,Finished,85.0
2019-01-31,Raw,78.333
2019-02-01,Raw,81.667
2019-02-01,Finished,81.667
2019-02-02,Finished,75.0
2019-02-02,Raw,81.667
2019-02-04,Raw,78.333
2019-02-04,Finished,78.333
2019-02-05,Raw,71.667
2019-02-05,Finished,75.0
2019-04-29,Finished,23.333
2019-04-29,Finished,51.667
2019-04-29,Finished,51.667
2019-04-29,Finished,51.667
2019-04-29,Finished,55.0
2019-04-29,Finished,20.0
2019-04-29,Finished,16.667
2019-04-29,Finished,28.333
2019-04-29,Finished,41.667
2019-04-30,Finished,35.0
2019-04-30,Finished,45.0
2019-04-30,Finished,68.333
2019-04-30,Finished,91.667
2019-04-30,Finished,68.333
2019-04-30,Finished,13.333
2019-05-01,Finished,71.667
2019-05-30,Raw,75.0
2019-05-30,Raw,58.333
2019-05-30,Raw,55.0
2019-05-30,Raw,55.0
2019-05-30,Raw,65.0
2019-05-30,Raw,65.0
2019-05-30,Raw,71.667
2019-05-30,Raw,68.333
2019-05-30,Finished,71.667
2019-05-30,Finished,71.667
2019-05-30,Finished,71.667
2019-05-30,Raw,75.0
2019-05-30,Finished,75.0
2019-05-30,Raw,30.0
2019-05-30,Raw,30.0
2019-05-30,Raw,30.0
2019-05-30,Raw,30.0
2019-06-19,Raw,30.0
2019-06-19,Raw,108.33
2019-06-19,Raw,30.0
2019-06-19,Raw,13.333
2019-06-19,Raw,15.0
2019-06-19,Raw,18.333
2019-06-19,Raw,15.0
2019-06-19,Raw,15.0
2019-06-19,Raw,15.0
2019-06-19,Raw,11.667
2019-06-19,Raw,15.0
2019-06-19,Raw,11.667
2019-06-19,Raw,11.667
2019-06-19,Raw,15.0
2019-06-19,Raw,3.3333
2019-06-19,Raw,15.0
2019-06-19,Raw,15.0
2019-06-19,Raw,15.0
2019-06-20,Raw,38.333
2019-06-20,Raw,31.667
2019-06-20,Raw,31.667
2019-06-20,Raw,31.667
2019-06-20,Raw,31.667
2019-06-20,Raw,31.667
2019-06-20,Raw,15.0
2019-06-20,Raw,18.333
2019-06-20,Raw,18.333
2019-06-20,Raw,15.0
2019-06-20,Raw,18.333
2019-06-20,Raw,21.667
2019-06-20,Raw,21.667
2019-06-20,Raw,21.667
2019-06-20,Raw,61.667
2019-06-20,Raw,68.333
2019-06-20,Raw,58.333
2019-06-20,Raw,68.333
2019-06-20,Raw,68.333
2019-06-20,Raw,65.0
2019-06-20,Raw,28.333
2019-06-20,Raw,31.667
2019-06-20,Raw,15.0
2019-06-20,Raw,25.0
2019-06-20,Raw,61.667
2019-07-04,Raw,26.667
2019-07-04,Raw,10.0
2019-07-04,Raw,3.3333
2019-07-04,Raw,30.0
2019-07-04,Raw,30.0
2019-07-04,Raw,11.667
2019-07-04,Raw,3.3333
2019-07-04,Raw,5.0
2019-07-04,Raw,8.3333
2019-07-04,Raw,8.3333
2019-07-04,Raw,8.3333
2019-07-04,Raw,18.333
2019-07-04,Raw,18.333
2019-07-04,Raw,38.333
2019-07-04,Raw,35.0
2019-07-04,Raw,31.667
2019-07-04,Raw,38.333
2019-07-04,Raw,35.0
2019-07-04,Raw,8.3333
2019-07-04,Raw,11.667
2019-07-04,Raw,11.667
2019-07-04,Raw,11.667
2019-07-04,Raw,8.3333
2019-07-04,Raw,8.3333
2019-07-04,Raw,11.667
2019-07-04,Raw,8.3333
2019-07-04,Raw,8.3333
2019-07-04,Raw,11.667
2019-07-04,Raw,15.0
2019-07-04,Raw,11.667
2019-07-04,Raw,11.667
2019-07-04,Raw,8.3333
2019-07-04,Raw,8.3333
2019-07-04,Raw,25.0
2019-07-04,Raw,35.0
2019-07-04,Raw,8.3333
2019-07-04,Raw,15.0
2019-07-05,Raw,10.0
2019-07-05,Raw,25.0
2019-07-05,Raw,15.0
2019-07-05,Raw,15.0
2019-07-05,Raw,11.667
2019-07-05,Raw,11.667
2019-07-06,Raw,25.0
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,15.0
2019-07-06,Raw,25.0
2019-07-06,Raw,31.667
2019-07-06,Raw,15.0
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,31.667
2019-07-06,Raw,31.667
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,11.667
2019-07-06,Raw,16.667
2019-07-06,Raw,98.333
2019-07-06,Raw,30.0
2019-07-06,Raw,51.667
